municipality,item_id,axis_name,item_name,scale,max_points,points,status,confidence,source_title,source_url,evidence,note
宜野湾市,III-1,内部業務DX,電子決裁・文書管理,実装成果,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,人事給与・文書管理システムに電子決裁機能ありと回答（第4回DR・自治体別Excel）,導入の確認にとどまる。満点条件「全庁導入かつ電子決裁率を公表」は未確認のため半点（2.5点）。総務省調査の「決裁率を把握している」は決裁率の公表とは異なる
宜野湾市,III-2,内部業務DX,RPA・AI-OCR,実装成果,5,5,満点,A,第8次行財政改革実施計画（進捗）,https://www.city.ginowan.lg.jp/material/files/group/7/dai8jigyouzaiseijissikeikaku.pdf,"RPA・AI-OCRを複数業務に導入し、令和7年度約1,400時間の削減実績を公表（第5回DR）",対象業務と効果を公表しているため満点（5点）
宜野湾市,III-3,内部業務DX,生成AIの業務利用,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
宜野湾市,III-4,内部業務DX,ノーコード・ローコード／情報共有基盤,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
宜野湾市,IV-1,BPR・業務改革,BPR・業務改善の専管組織／推進体制,体制,5,5,満点,A,令和7年度宜野湾市行政組織図,https://www.city.ginowan.lg.jp/material/files/group/7/r7ginowansisosikizu.pdf,「行政経営室（5）」「行政改革推進班（4）」を組織図で確認,行革を所掌する専管の室が存在するため満点（5点）
宜野湾市,IV-2,BPR・業務改革,BPR実施実績の公表,実装成果,5,5,満点,A,第8次行財政改革実施計画（進捗）,https://www.city.ginowan.lg.jp/material/files/group/7/dai8jigyouzaiseijissikeikaku.pdf,"RPA・AI-OCR導入業務と令和7年度約1,400時間の削減実績を同計画の進捗資料で公表（第5回DR）",対象業務と削減時間の実績を公表しているため満点（5点）
宜野湾市,V-1,デジタル人材,育成方針・研修体系,体制,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で職員のデジタル人材育成（研修）の実施を確認（第5回DRが10市で確認）,研修実施の確認にとどまり、育成方針・計画の策定公表は未確認のため半点（2.5点）
宜野湾市,V-2,デジタル人材,外部専門人材の活用,体制,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で外部デジタル人材の任用を確認（第5回DR）,外部専門人材の任用を確認したため満点（5点）
宜野湾市,V-3,デジタル人材,デジタル人材の採用・配置,体制,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査でデジタル職種・採用区分「あり」／7人と回答（第5回DR）,ICT区分採用・専門職配置を確認したため満点（5点）
宜野湾市,VI-1,住民サービス・データ活用,LINE等を活用した行政サービス,実装成果,4,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
宜野湾市,VI-2,住民サービス・データ活用,マイナンバーカード活用サービス,実装成果,4,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
宜野湾市,VI-3,住民サービス・データ活用,オープンデータ,実装成果,4,2,部分点,A,デジタル庁「地方公共団体オープンデータ取組済自治体一覧」,https://www.digital.go.jp/resources/open_data,デジタル庁「地方公共団体オープンデータ取組済自治体一覧」（2026-06-30）に掲載。オープンデータ公開ページ／カタログ掲載を11市すべてで確認（第5回DR）,推奨データセットの公開と更新継続を全市同条件で確認できないため半点（2点）
宜野湾市,VI-4,住民サービス・データ活用,公共施設予約等のオンライン化,実装成果,3,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,I-1,DX推進方針・推進体制,DX推進計画・方針の策定,体制,6,6,満点,A,石垣市デジタル化推進計画（令和4年4月・企画部DX課）,https://www.city.ishigaki.okinawa.jp/material/files/group/1/dx_plan.pdf,第1回DRが策定主体・策定時期を一次資料で確認,独立したDX推進計画・推進方針を策定・公表しているため満点（6点）
石垣市,I-2,DX推進方針・推進体制,計画の現行性,体制,4,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,I-3,DX推進方針・推進体制,全庁的推進本部の設置,体制,5,2,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で「全庁的・横断的な推進体制あり」と回答（第5回DRが11市すべてで確認）,全庁的・横断的な推進体制の存在は確認できたが、設置要綱等の規程本文は未確認のため半点（2点）
石垣市,I-4,DX推進方針・推進体制,ロードマップ・KPI・進捗公表,体制,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,II-1,行政手続DX,電子申請基盤の運用,実装成果,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,汎用的電子申請システムについて「導入済み」と回答（第4回DR・自治体別Excel）,稼働中の電子申請窓口を確認したため満点（5点）
石垣市,II-2,行政手続DX,オンライン化対象手続の公表,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,II-3,行政手続DX,書かない窓口・窓口DX,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,II-4,行政手続DX,キャッシュレス収納,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,III-1,内部業務DX,電子決裁・文書管理,実装成果,5,0,0点（確認済み）,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,人事給与・財務会計・文書管理の3システムとも「電子決裁機能なし」と回答（第4回DR・自治体別Excel）,第5回DRまでに当該自治体を名指しで「無い／未実施」と報告している。公的調査における明示的な不存在回答であり、確認済み0点として扱う（未確認ではない）
石垣市,III-2,内部業務DX,RPA・AI-OCR,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,III-3,内部業務DX,生成AIの業務利用,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,III-4,内部業務DX,ノーコード・ローコード／情報共有基盤,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,IV-1,BPR・業務改革,BPR・業務改善の専管組織／推進体制,体制,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,IV-2,BPR・業務改革,BPR実施実績の公表,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,V-1,デジタル人材,育成方針・研修体系,体制,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で職員のデジタル人材育成（研修）の実施を確認（第5回DRが10市で確認）,研修実施の確認にとどまり、育成方針・計画の策定公表は未確認のため半点（2.5点）
石垣市,V-2,デジタル人材,外部専門人材の活用,体制,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,「CIO、CIO補佐官、CISO以外の外部デジタル人材」に「任用している／人数3」と記載（Excel 1755行）,外部専門人材の任用を確認したため満点（5点）
石垣市,V-3,デジタル人材,デジタル人材の採用・配置,体制,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,VI-1,住民サービス・データ活用,LINE等を活用した行政サービス,実装成果,4,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,VI-2,住民サービス・データ活用,マイナンバーカード活用サービス,実装成果,4,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
石垣市,VI-3,住民サービス・データ活用,オープンデータ,実装成果,4,2,部分点,A,デジタル庁「地方公共団体オープンデータ取組済自治体一覧」,https://www.digital.go.jp/resources/open_data,デジタル庁「地方公共団体オープンデータ取組済自治体一覧」（2026-06-30）に掲載。オープンデータ公開ページ／カタログ掲載を11市すべてで確認（第5回DR）,推奨データセットの公開と更新継続を全市同条件で確認できないため半点（2点）
石垣市,VI-4,住民サービス・データ活用,公共施設予約等のオンライン化,実装成果,3,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,I-1,DX推進方針・推進体制,DX推進計画・方針の策定,体制,6,6,満点,A,浦添市DX推進計画 基本構想（令和7年4月1日）,https://www.city.urasoe.lg.jp/doc/2025061100078/file_contents/file_20256264162226_1.pdf,第5回DRが計画本文PDFを確認。独立したDX推進計画として策定・公表,独立したDX推進計画・推進方針を策定・公表しているため満点（6点）
浦添市,I-2,DX推進方針・推進体制,計画の現行性,体制,4,4,満点,A,浦添市DX推進計画 基本構想（令和7年4月1日）,https://www.city.urasoe.lg.jp/doc/2025061100078/file_contents/file_20256264162226_1.pdf,令和7年度起点の現行計画。第5回DRが計画本文で確認,調査時点（2026年9月15日）が計画期間内であるため満点（4点）
浦添市,I-3,DX推進方針・推進体制,全庁的推進本部の設置,体制,5,2,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で「全庁的・横断的な推進体制あり」と回答（第5回DRが11市すべてで確認）,全庁的・横断的な推進体制の存在は確認できたが、設置要綱等の規程本文は未確認のため半点（2点）
浦添市,I-4,DX推進方針・推進体制,ロードマップ・KPI・進捗公表,体制,5,3,部分点,A,浦添市DX推進計画 基本構想（KPI）,https://www.city.urasoe.lg.jp/doc/2025061100078/file_contents/file_20256264162226_1.pdf,第5回DRが現行計画本文にKPIの記載を確認。進捗実績の公表は未確認,ルーブリックの「KPI設定のみ」に該当（3点）
浦添市,II-1,行政手続DX,電子申請基盤の運用,実装成果,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,汎用的電子申請システムについて「導入済み」と回答（第4回DR・自治体別Excel）,稼働中の電子申請窓口を確認したため満点（5点）
浦添市,II-2,行政手続DX,オンライン化対象手続の公表,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,II-3,行政手続DX,書かない窓口・窓口DX,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,II-4,行政手続DX,キャッシュレス収納,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,III-1,内部業務DX,電子決裁・文書管理,実装成果,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,文書管理システムに電子決裁機能ありと回答（決裁率は把握していない）（第4回DR・自治体別Excel）,導入の確認にとどまる。満点条件「全庁導入かつ電子決裁率を公表」は未確認のため半点（2.5点）。総務省調査の「決裁率を把握している」は決裁率の公表とは異なる
浦添市,III-2,内部業務DX,RPA・AI-OCR,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,III-3,内部業務DX,生成AIの業務利用,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,III-4,内部業務DX,ノーコード・ローコード／情報共有基盤,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,IV-1,BPR・業務改革,BPR・業務改善の専管組織／推進体制,体制,5,5,満点,A,行政改革推進課,https://www.city.urasoe.lg.jp/soshiki/kikakubu/gyoseikaikakusuishinka/,「財務部行財政改革推進課と企画部デジタルシティ推進室を統合して令和7年度に設置」,行革・DXを所掌する専管の課が存在するため満点（5点）
浦添市,IV-2,BPR・業務改革,BPR実施実績の公表,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,V-1,デジタル人材,育成方針・研修体系,体制,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で職員のデジタル人材育成（研修）の実施を確認（第5回DRが10市で確認）,研修実施の確認にとどまり、育成方針・計画の策定公表は未確認のため半点（2.5点）
浦添市,V-2,デジタル人材,外部専門人材の活用,体制,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で外部デジタル人材の任用を確認（第5回DR）,外部専門人材の任用を確認したため満点（5点）
浦添市,V-3,デジタル人材,デジタル人材の採用・配置,体制,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査でデジタル職種・採用区分「あり」／10人と回答（第5回DR）,ICT区分採用・専門職配置を確認したため満点（5点）
浦添市,VI-1,住民サービス・データ活用,LINE等を活用した行政サービス,実装成果,4,4,満点,A,浦添市LINE予約サービス,https://www.city.urasoe.lg.jp/doc/2025061100078/file_contents/file_20256264162226_1.pdf,LINEによる予約サービス等の双方向機能を確認（第5回DR）,手続・通報等の双方向機能を確認したため満点（4点）。第5回DRの5点候補は配点超過のため採用しない
浦添市,VI-2,住民サービス・データ活用,マイナンバーカード活用サービス,実装成果,4,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
浦添市,VI-3,住民サービス・データ活用,オープンデータ,実装成果,4,2,部分点,A,デジタル庁「地方公共団体オープンデータ取組済自治体一覧」,https://www.digital.go.jp/resources/open_data,デジタル庁「地方公共団体オープンデータ取組済自治体一覧」（2026-06-30）に掲載。オープンデータ公開ページ／カタログ掲載を11市すべてで確認（第5回DR）,推奨データセットの公開と更新継続を全市同条件で確認できないため半点（2点）
浦添市,VI-4,住民サービス・データ活用,公共施設予約等のオンライン化,実装成果,3,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
名護市,I-1,DX推進方針・推進体制,DX推進計画・方針の策定,体制,6,6,満点,A,名護市DX推進計画,https://www.city.nago.okinawa.jp/articles/2025050200017/file_contents/DXsuishinkeikaku.pdf,第5回DRが計画本文PDFを確認（全庁業務量調査・RPA実証等を記載）,独立したDX推進計画・推進方針を策定・公表しているため満点（6点）
名護市,I-2,DX推進方針・推進体制,計画の現行性,体制,4,0,0点（確認済み）,A,名護市DX推進計画,https://www.city.nago.okinawa.jp/articles/2025050200017/file_contents/DXsuishinkeikaku.pdf,第5回DRが「計画期間が2025年度までで終了」かつ改定の公表を確認できないことを確認,ルーブリックの0点条件「期間終了で改定未確認」に該当。確認済み0点であり未確認ではない
名護市,I-3,DX推進方針・推進体制,全庁的推進本部の設置,体制,5,2,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で「全庁的・横断的な推進体制あり」と回答（第5回DRが11市すべてで確認）,全庁的・横断的な推進体制の存在は確認できたが、設置要綱等の規程本文は未確認のため半点（2点）
名護市,I-4,DX推進方針・推進体制,ロードマップ・KPI・進捗公表,体制,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
名護市,II-1,行政手続DX,電子申請基盤の運用,実装成果,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,汎用的電子申請システムについて「令和5年度中に導入予定」と回答（第4回DR・自治体別Excel）,ルーブリックの「導入予定の公表のみ」に該当（2.5点）。2026年時点の稼働は未確認のため満点にしない
名護市,II-2,行政手続DX,オンライン化対象手続の公表,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
名護市,II-3,行政手続DX,書かない窓口・窓口DX,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
名護市,II-4,行政手続DX,キャッシュレス収納,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
名護市,III-1,内部業務DX,電子決裁・文書管理,実装成果,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,文書管理システムに電子決裁機能があり決裁率を把握していると回答（第4回DR・自治体別Excel）,導入の確認にとどまる。満点条件「全庁導入かつ電子決裁率を公表」は未確認のため半点（2.5点）。総務省調査の「決裁率を把握している」は決裁率の公表とは異なる
名護市,III-2,内部業務DX,RPA・AI-OCR,実装成果,5,5,満点,A,名護市DX推進計画,https://www.city.nago.okinawa.jp/articles/2025050200017/file_contents/DXsuishinkeikaku.pdf,5原課7業務でAI-OCR・RPAを実証し、効果が出た業務でRPAを継続利用（第5回DR）,対象業務と効果を公表しているため満点（5点）
名護市,III-3,内部業務DX,生成AIの業務利用,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
名護市,III-4,内部業務DX,ノーコード・ローコード／情報共有基盤,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
